formula
B0.815 Si0.06 Fe0.125 
C0.08 Cr0.2 Fe0.72 
Mg0.65 Ni0.15 Nd0.2 
Mg0.55 Ni0.3 Nd0.15 
B0.12 Mn0.18 Co0.7 
C0.05 Si0.15 Co0.8 
Al0.25 Mn0.25 Cu0.5 
C0.15 Si0.05 Ni0.8 
B0.12 Mn0.17600000000000002 Co0.7040000000000001 
B0.12 Mn0.175 Co0.705 
P0.17 Mn0.12 Fe0.71 
B0.08 V0.1 Fe0.82 
B0.08 Cr0.15 Fe0.77 
C0.025 P0.175 Fe0.8 
B0.17 P0.015 Ni0.815 
B0.06 C0.12 Cr0.07 Mn0.05 Fe0.56 Mo0.12 Er0.02 
B0.075 Si0.16 Ni0.765 
P0.17 Mn0.09 Fe0.74 
B0.08 Cr0.14 Fe0.78 
B0.19200000000000006 Si0.048000000000000015 Fe0.6624 Nb0.04 Tb0.0576 
B0.1 Fe0.85 Cu0.05 
Mg0.6 Cu0.25 Gd0.15 
Be0.2675 Ti0.3 Cu0.0825 Zr0.35 
Al0.03 P0.17 Fe0.8 
Si0.55 Ti0.09 Zr0.36 
B0.08 Cr0.12 Fe0.8 
B0.12 Fe0.68 Cu0.2 
B0.16699999999999998 P0.018000000000000002 Ni0.815 
Al0.18181818181818185 Cr0.18181818181818185 Fe0.18181818181818185 Co0.18181818181818185 Ni0.18181818181818185 Cu0.09090909090909093 
Ti0.7 Cu0.3 
Ti0.65 Ni0.35 
B0.1 Fe0.8 Ni0.1 
Al0.5 Ni0.2 Zr0.3 
B0.06 Si0.18 Ni0.76 
C0.05 Si0.2 Ni0.75 
B0.09 Fe0.91 
B0.08 Cr0.1 Fe0.82 
B0.12 Si0.08 Ni0.8 
B0.06 C0.15 Cr0.15 Co0.48 Mo0.14 Er0.02 
Mg0.65 Cu0.15 Nd0.2 
Al0.15 Ti0.35 Cu0.5 
Al0.05 Si0.1 Fe0.85 
B0.1 Si0.05 Co0.85 
B0.185 Fe0.755 Nd0.06 
B0.08 Cr0.08 Fe0.84 
B0.04 P0.16 Fe0.8 
B0.16 C0.04 Ni0.8 
B0.08 Mn0.15 Fe0.77 
B0.08 V0.05 Fe0.87 
Mg0.091 Ca0.364 Cu0.545 
B0.14 Fe0.78 Zr0.08 
B0.06 C0.15 Cr0.15 Co0.5 Mo0.14 
P0.16 Cr0.435 Ni0.405 
B0.12 Mn0.09 Co0.79 
B0.1 Fe0.75 Ni0.15 
Mg0.4 Cu0.4 Y0.2 
Si0.1 Ti0.4 Ni0.5 
Mg0.6 Ni0.2 La0.2 
B0.1 Fe0.8 Cu0.1 
P0.2 Fe0.6 Ni0.2 
C0.15 Cr0.1 Fe0.64 Mo0.09 Er0.02 
Al0.05 Ti0.57 Cu0.38 
B0.06 Cr0.26 Fe0.68 
B0.08 Mn0.1 Fe0.82 
B0.08 Cr0.05 Fe0.87 
B0.11 Mn0.17800000000000002 Co0.7120000000000001 
Mg0.7 Ag0.225 Yb0.075 
B0.12 Fe0.83 Nb0.05 
Al0.56 Ni0.28 La0.16 
Si0.2 Ti0.16 Ni0.64 
B0.16 C0.02 Ni0.82 
B0.15 Fe0.75 Zr0.1 
B0.12 C0.04 Co0.84 
C0.1 Si0.05 Co0.85 
B0.06 Cr0.24 Fe0.7 
B0.08 Fe0.89 Cu0.03 
B0.08 Mn0.05 Fe0.87 
C0.045 P0.15 Fe0.805 
B0.12 Fe0.83 Mo0.05 
B0.08 Fe0.9 Zr0.02 
C0.035 P0.15 Fe0.815 
Si0.05 Ti0.5 Ni0.45 
B0.06 Cr0.22 Fe0.72 
P0.2 Cr0.1 Co0.7 
B0.1 Fe0.7 Ni0.2 
Mg0.55 Cu0.3 Nd0.15 
Si0.5 Ti0.15 Zr0.35 
Al0.7 Ni0.1 Sm0.2 
B0.1 Si0.1 Ni0.8 
C0.2 Co0.7 Mo0.1 
B0.08 Fe0.91 Cu0.01 
C0.025 P0.15 Fe0.825 
C0.125 Co0.85 W0.025 
C0.18 Fe0.7 Mo0.12 
B0.16 Ni0.84 
P0.19 Cr0.3 Ni0.51 
B0.06 Cr0.2 Fe0.74 
B0.14 Fe0.78 Mo0.08 
B0.023 P0.147 Fe0.83 
Mg0.5 Ni0.35 La0.15 
Mg0.725 Pd0.15 Yb0.125 
B0.1 Fe0.75 Cu0.15 
Al0.63 Ni0.17 La0.2 
Mg0.55 Al0.1 Ag0.35 
B0.12 Co0.88 
Be0.07 Ti0.45 Ni0.15 Cu0.25 Zr0.05 Sn0.03 
Be0.18 Ti0.4 Ni0.08 Cu0.09 Zr0.25 
B0.06 Cr0.18 Fe0.76 
B0.11 Fe0.84 Zr0.05 
B0.12 P0.065 Ni0.815 
Ti0.6 Ni0.4 
Mg0.6 Y0.2 Ag0.2 
Mg0.6 Cu0.2 La0.2 
Al0.2 Ti0.2 Cu0.6 
Si0.15 Ti0.65 Zr0.2 
Mg0.6 Ni0.2 Ce0.2 
B0.1 Fe0.65 Ni0.25 
Si0.2 Co0.8 
Al0.4 Ni0.4 Zr0.2 
C0.1 Si0.1 Ni0.8 
B0.1 P0.1 Ni0.8 
B0.03 P0.14 Fe0.83 
B0.08 Fe0.87 Ni0.05 
B0.06 Cr0.16 Fe0.78 
C0.18 Co0.74 Mo0.08 
B0.15 P0.035 Ni0.815 
B0.06 Cr0.15 Fe0.79 
B0.06 V0.1 Fe0.84 
Ti0.65 Cu0.35 
Mg0.45 Al0.2 Ag0.35 
B0.19200000000000006 Si0.048000000000000015 Fe0.6528 Nb0.04 Tb0.06720000000000001 
B0.025 C0.05 P0.125 Cr0.02 Fe0.68 Ni0.05 Mo0.05 
B0.06 Cr0.14 Fe0.8 
B0.12 Fe0.81 Zr0.07 
B0.14800000000000002 P0.037000000000000005 Ni0.815 
B0.025 C0.05 P0.125 Fe0.745 Mo0.055 
B0.08 Fe0.87 Cu0.05 
Al0.225 Fe0.675 Zr0.1 
B0.08 Si0.12 Ni0.8 
B0.111 P0.07400000000000001 Ni0.815 
B0.025 C0.05 P0.125 Fe0.7 Ni0.05 Mo0.05 
Be0.28 Ti0.15 Ni0.11 Cu0.1 Y0.02 Zr0.34 
Ti0.61 Ni0.23 Cu0.16 
B0.06 Cr0.12 Fe0.82 
B0.1 Fe0.8 Ge0.1 
P0.2 Ti0.15 Ni0.65 
Ti0.6 Ni0.3 Cu0.1 
B0.08 Fe0.82 Ni0.1 
P0.19 Cr0.25 Ni0.56 
B0.12 Fe0.81 Nb0.07 
B0.06 Cr0.1 Fe0.84 
Al0.54 Ni0.3 La0.16 
Al0.05 Ti0.45 Ni0.5 
B0.22 Fe0.67 Y0.06 W0.05 
B0.06 Cr0.08 Fe0.86 
B0.11 Co0.89 
C0.025 P0.125 Fe0.85 
B0.06 V0.05 Fe0.89 
B0.06 Mn0.15 Fe0.79 
B0.1 Fe0.85 Zr0.05 
Si0.15 Ti0.65 Nb0.2 
Ti0.6 Ni0.2 Cu0.2 
Si0.05 Ti0.45 Ni0.5 
B0.12 Fe0.8 Zr0.08 
Al0.1 Ti0.4 Cu0.5 
Mg0.6 Cu0.2 Ce0.2 
Al0.6 Fe0.2 Ce0.2 
C0.2 Co0.68 Mo0.12 
B0.1 C0.05 Ni0.85 
P0.2 Cr0.2 Ni0.6 
P0.2 Fe0.4 Ni0.4 
Mg0.7 Pd0.2 Yb0.1 
B0.12 Fe0.81 Mo0.07 
B0.08 Fe0.77 Ni0.15 
B0.08 Fe0.82 Cu0.1 
P0.2 Ti0.13 Ni0.67 
B0.04 P0.12 Fe0.84 
B0.06 Mn0.1 Fe0.84 
B0.06 Cr0.05 Fe0.89 
Ti0.6 Fe0.05 Cu0.35 
B0.1 Fe0.85 Nb0.05 
Al0.65 Ni0.15 Nd0.2 
B0.14 Fe0.76 Mo0.1 
B0.04 C0.04 Si0.02 P0.1 Fe0.73 Ga0.03 Mo0.04 
P0.2 Cr0.18 Ni0.62 
B0.06 Mn0.05 Fe0.89 
B0.17 Ni0.78 Zr0.05 
B0.04 C0.04 Si0.02 P0.1 Fe0.74 Ga0.02 Mo0.04 
Ti0.6 Ni0.1 Cu0.3 
B0.1 Fe0.85 Mo0.05 
Si0.45 Ti0.2 Zr0.35 
P0.2 Fe0.35 Ni0.45 
C0.15 Ni0.85 
Ti0.55 Ni0.45 
Al0.7 Ni0.1 Gd0.2 
Al0.3 Ni0.6 Zr0.1 
B0.06 Fe0.91 Cu0.03 
B0.04 C0.04 Si0.02 P0.1 Fe0.75 Ga0.03 Mo0.02 
B0.1 Al0.04 Co0.86 
B0.14 C0.02 Ni0.84 
B0.08 Fe0.72 Ni0.2 
C0.2 Fe0.63 Mo0.17 
C0.18 Co0.72 Mo0.1 
B0.04 C0.04 Si0.02 P0.1 Fe0.76 Ga0.02 Mo0.02 
B0.06 Fe0.93 Cu0.01 
P0.19 Cr0.2 Ni0.61 
B0.04 C0.04 Si0.03 P0.1 Fe0.77 Mo0.02 
B0.17 Ni0.78 Nb0.05 
Al0.7 Ni0.05 La0.25 
B0.04 C0.04 Si0.03 P0.1 Fe0.78 Mo0.01 
C0.06 Fe0.9 W0.04 
B0.12 Fe0.8 Mo0.08 
B0.04 C0.04 Si0.03 P0.1 Fe0.79 
B0.08 Fe0.77 Cu0.15 
C0.22 Co0.62 Mo0.16 
B0.16 Co0.74 Zr0.1 
P0.24 Ni0.73 Cu0.03 
B0.04 C0.04 Si0.025 P0.095 Fe0.77 Ga0.03 
Mg0.5 Ni0.35 Nd0.15 
Mg0.6 Y0.15 Ag0.25 
P0.2 Ti0.1 Ni0.7 
P0.2 Cr0.15 Ni0.65 
Ti0.6 Cu0.4 
Mg0.6 Ni0.2 Nd0.2 
Al0.6 Ni0.2 La0.2 
P0.2 Fe0.3 Ni0.5 
B0.06 P0.14 Ni0.8 
C0.05 Si0.15 Ni0.8 
Mg0.7 Ag0.2 Yb0.1 
B0.09 Fe0.86 Zr0.05 
P0.24 Ni0.74 Cu0.02 
B0.08 Fe0.67 Ni0.25 
B0.04 C0.04 Si0.03 P0.09 Fe0.76 Mo0.04 
B0.06 Fe0.89 Ni0.05 
C0.1 Co0.875 W0.025 
P0.24 Ni0.75 Cu0.01 
Al0.5 Ni0.35 La0.15 
Al0.15 Ti0.25 Cu0.6 
B0.03 C0.1 P0.06 Cr0.03 Fe0.68 Mo0.1 
B0.12 Fe0.78 Zr0.1 
B0.06 Fe0.89 Cu0.05 
Mg0.4 Ni0.3 Y0.3 
Al0.4 Ni0.5 La0.1 
Si0.05 Ti0.4 Ni0.55 
C0.05 Cr0.05 Fe0.9 
C0.1 Co0.9 
P0.2 Fe0.25 Ni0.55 
B0.05 P0.15 Ni0.8 
Si0.4 Ti0.26 Zr0.34 
B0.2 Fe0.735 W0.065 
P0.19 Cr0.15 Ni0.66 
B0.06 Fe0.84 Ni0.1 
B0.04 C0.04 P0.12 Fe0.65 Co0.1 Ga0.05 
B0.13 Fe0.75 Zr0.12 
B0.1 Fe0.83 Nb0.07 
Mg0.55 Cu0.25 Ag0.1 Gd0.1 
B0.04 C0.04 Si0.03 P0.09 Fe0.66 Co0.1 Mo0.04 
C0.18 Fe0.66 Mo0.16 
B0.09 Fe0.06 Co0.85 
P0.17 Fe0.415 Ni0.415 
B0.14 Fe0.74 Mo0.12 
Be0.225 C0.08 Ti0.14 Ni0.02 Cu0.125 Zr0.41 
Si0.1 Ti0.7 Nb0.2 
Ti0.5 Ni0.5 
Mg0.55 Ni0.25 La0.2 
Mg0.6 Cu0.2 Nd0.2 
Al0.6 Ni0.2 Ce0.2 
Mg0.4 Cu0.5 La0.1 
P0.2 Cr0.1 Ni0.7 
P0.2 Fe0.2 Ni0.6 
B0.1 Fe0.82 Zr0.08 
C0.18 Co0.7 Mo0.12 
P0.22 Ni0.74 Cu0.04 
B0.010101010101010102 Si0.020202020202020204 Ti0.5050505050505051 Ni0.24242424242424246 Cu0.202020202020202 Sn0.020202020202020204 
B0.01 Si0.02 Ti0.5 Ni0.24 Cu0.2 Sn0.03 
P0.22 Co0.035 Ni0.745 
B0.22 Fe0.66 Y0.06 W0.06 
B0.06 Fe0.79 Ni0.15 
B0.16 Fe0.69 Mo0.15 
Al0.64 Fe0.13 Ce0.23 
B0.06 Fe0.84 Cu0.1 
B0.055 P0.13 Ni0.815 
Ti0.5 Ni0.45 Cu0.05 
Al0.05 Ti0.45 Cu0.5 
Si0.15 Co0.85 
Al0.65 Ni0.15 Sm0.2 
P0.215 Co0.14 Ni0.645 
B0.08 Fe0.87 Nb0.05 
P0.22 Co0.07 Ni0.71 
B0.04 C0.04 Si0.03 P0.09 Fe0.56 Co0.2 Mo0.04 
P0.215 Co0.125 Ni0.66 
B0.12 Fe0.78 Mo0.1 
P0.2 Fe0.16 Ni0.64 
P0.22 Co0.02 Ni0.76 
P0.22 Co0.05 Ni0.73 
Al0.2 Ti0.1 Cu0.7 
Ti0.5 Ni0.4 Cu0.1 
P0.18 Cr0.14 Ni0.68 
C0.1 Si0.05 Ni0.85 
P0.2 Ti0.05 Ni0.75 
P0.2 Fe0.15 Ni0.65 
Mg0.675 Ag0.25 Yb0.075 
B0.15 Fe0.61 Co0.07 Zr0.1 Mo0.05 W0.02 
B0.15 Cr0.02 Fe0.61 Co0.05 Y0.02 Zr0.08 Mo0.07 
P0.215 Co0.1 Ni0.685 
P0.215 Co0.09 Ni0.695 
P0.2 Cr0.07 Ni0.73 
B0.08 Fe0.87 Mo0.05 
B0.15 Al0.01 Fe0.61 Co0.06 Y0.02 Zr0.08 Mo0.07 
B0.12 Si0.04 Ni0.84 
Ti0.5 Ni0.37 Cu0.13 
B0.175 Fe0.7425 Nd0.0825 
P0.19 Cr0.1 Ni0.71 
B0.17 Ni0.75 Nb0.08 
B0.06 Fe0.74 Ni0.2 
C0.16 Co0.74 Mo0.1 
B0.15 Fe0.61 Co0.07 Y0.02 Zr0.08 Mo0.07 
Ti0.5 Ni0.35 Cu0.15 
Mg0.5 Cu0.35 Nd0.15 
C0.2 Co0.75 W0.05 
Ti0.55 Cu0.45 
B0.09 Fe0.84 Nb0.07 
B0.08 C0.04 Co0.88 
P0.21 Co0.035 Ni0.755 
B0.1 Fe0.82 Mo0.08 
B0.04 C0.04 Si0.03 P0.09 Fe0.46 Co0.3 Mo0.04 
B0.06 Fe0.79 Cu0.15 
Mg0.7 Pd0.175 Yb0.125 
P0.2 Fe0.1 Ni0.7 
Mg0.4 Cu0.3 Y0.3 
Ti0.5 Ni0.3 Cu0.2 
C0.2 Co0.64 Mo0.16 
Mg0.6 Y0.1 Ag0.3 
Mg0.54 Cu0.265 Ag0.085 Gd0.11 
P0.2 Cr0.05 Ni0.75 
P0.21 Co0.07 Ni0.72 
P0.22 Ni0.72 Cu0.06 
Ti0.5 Fe0.1 Cu0.4 
Si0.2 Ni0.8 
P0.21 Co0.02 Ni0.77 
P0.21 Co0.05 Ni0.74 
P0.22 Ni0.7 Cu0.08 
B0.07 Fe0.88 Zr0.05 
Al0.61 Ni0.17 La0.22 
B0.06 Fe0.69 Ni0.25 
P0.22 Ni0.68 Cu0.1 
Ti0.5 Ni0.25 Cu0.25 
Mg0.55 Cu0.25 La0.2 
P0.17 Fe0.76 Mo0.07 
B0.17 Ni0.73 Zr0.1 
P0.2 Ni0.76 Cu0.04 
Si0.15 Ti0.6 Zr0.25 
B0.08 Fe0.85 Zr0.07 
Al0.1 Ti0.2 Ni0.7 
Al0.1 Ti0.3 Cu0.6 
Ti0.5 Ni0.2 Cu0.3 
B0.1 Fe0.8 Zr0.1 
Al0.5 Ni0.1 Zr0.4 
Mg0.4 Cu0.5 Nd0.1 
P0.2 Fe0.05 Ni0.75 
Ti0.45 Ni0.55 
P0.2 Cr0.03 Ni0.77 
P0.19 Cr0.05 Ni0.76 
P0.2 Ni0.78 Cu0.02 
Si0.175 Ti0.575 Nb0.25 
Ti0.5 Fe0.05 Cu0.45 
Mg0.6 Ni0.16 La0.24 
B0.13 Fe0.72 Zr0.15 
B0.08 Fe0.85 Nb0.07 
P0.19 Co0.16 Ni0.65 
P0.195 Co0.035 Ni0.77 
P0.2 Fe0.01 Ni0.79 
C0.22 Co0.58 Mo0.2 
B0.09 Fe0.83 Mo0.08 
B0.17 Ni0.73 Nb0.1 
P0.19 Co0.14 Ni0.67 
P0.21 Ni0.67 Cu0.12 
P0.195 Co0.07 Ni0.735 
P0.21 Ni0.66 Cu0.13 
Ti0.5 Ni0.1 Cu0.4 
Al0.05 Ti0.4 Cu0.55 
B0.12 Fe0.76 Mo0.12 
P0.2 Ni0.8 
P0.19 Co0.125 Ni0.685 
P0.195 Co0.02 Ni0.785 
P0.195 Co0.05 Ni0.755 
Ti0.5 Ni0.075 Cu0.425 
P0.19 Co0.1 Ni0.71 
C0.16 Co0.72 Mo0.12 
P0.19 Co0.09 Ni0.72 
C0.22 Fe0.7 W0.08 
Mg0.55 Cu0.25 Ce0.2 
Mg0.675 Pd0.225 Yb0.1 
P0.2 Ni0.74 Cu0.06 
B0.14 Fe0.71 Mo0.15 
B0.12 Co0.8 Nb0.08 
P0.2 Ni0.72 Cu0.08 
B0.06 Fe0.89 Nb0.05 
P0.0020440062522544193 Cr0.2494889984369364 Fe0.7484669953108092 
Ti0.5 Cu0.5 
B0.1 Fe0.8 Mo0.1 
Al0.65 Ni0.1 La0.25 
C0.05 Si0.1 Ni0.85 
P0.2 Ni0.7 Cu0.1 
Sc0.1 Fe0.9 
Ti0.475 Ni0.075 Cu0.425 Zr0.025 
B0.12 Fe0.82 Nd0.06 
C0.16 Fe0.67 Mo0.17 
P0.2 Ni0.68 Cu0.12 
P0.19 Ni0.81 
P0.2 Ni0.67 Cu0.13 
P0.2 Ni0.66 Cu0.14 
B0.06 Fe0.89 Mo0.05 
P0.2 Ni0.6559999999999999 Cu0.14400000000000002 
Si0.15 Ti0.6 Nb0.25 
P0.0020440062522544193 V0.14969339906216186 Fe0.8482625946855837 
Al0.65 Fe0.1 Ce0.25 
Al0.55 Ni0.25 La0.2 
Al0.6 Fe0.17 Ce0.23 
C0.14 Co0.76 Mo0.1 
B0.16 Co0.68 Zr0.16 
Si0.5 Ti0.08 Zr0.42 
P0.18 Ni0.78 Cu0.04 
C0.18 Co0.77 W0.05 
P0.17 Fe0.74 Mo0.09 
P0.18 Co0.035 Ni0.785 
B0.1 Fe0.78 Zr0.12 
B0.04 Cr0.2 Fe0.76 
B0.17 Ni0.715 Nb0.115 
P0.18 Co0.07 Ni0.75 
B0.02 Cr0.2 Fe0.78 
P0.185 Ni0.815 
Be0.4 Zr0.6 
Ti0.4 Ni0.6 
Mg0.65 Ni0.1 Nd0.25 
Mg0.55 Ni0.25 Nd0.2 
Mg0.45 Ni0.4 Nd0.15 
C0.18 Fe0.62 Mo0.2 
Si0.45 Ti0.15 Zr0.4 
Al0.4 Ni0.3 Zr0.3 
Ti0.43478260869565216 Ni0.2608695652173913 Cu0.2782608695652174 Sn0.026086956521739132 
P0.18 Co0.05 Ni0.77 
P0.18 Co0.02 Ni0.8 
C0.18 Co0.66 Mo0.16 
B0.2 Fe0.72 W0.08 
P0.17 Co0.14 Ni0.69 
B0.05 Fe0.9 Zr0.05 
B0.07 Fe0.85 Zr0.08 
P0.18 Ni0.82 
B0.04 C0.04 Si0.03 P0.1 Fe0.74 Mo0.05 
P0.17 Co0.125 Ni0.705 
B0.04 Cr0.16 Fe0.8 
B0.02 Cr0.16 Fe0.82 
B0.04 Cr0.15 Fe0.81 
B0.04 V0.1 Fe0.86 
P0.17 Co0.1 Ni0.73 
P0.0020440062522544193 Cr0.14969339906216186 Fe0.8482625946855837 
Si0.1 Co0.9 
P0.17 Co0.09 Ni0.74 
Ti0.4 Ni0.5 Cu0.1 
Mg0.65 Cu0.1 Nd0.25 
B0.1 Fe0.78 Nb0.12 
B0.04 Cr0.14 Fe0.82 
P0.17 Co0.035 Ni0.795 
B0.02 Cr0.14 Fe0.84 
B0.08 Fe0.82 Zr0.1 
Al0.5 Ni0.32 La0.18 
C0.18 Ni0.7 Mo0.12 
P0.18 Ni0.76 Cu0.06 
B0.06 Fe0.87 Zr0.07 
P0.17 Co0.07 Ni0.76 
P0.17 Co0.05 Ni0.78 
P0.18 Ni0.74 Cu0.08 
P0.17 Co0.02 Ni0.81 
B0.04 Cr0.12 Fe0.84 
P0.0020440062522544193 Mn0.2494889984369364 Fe0.7484669953108092 
Ti0.45 Ni0.1 Cu0.45 
Al0.05 Ti0.35 Cu0.6 
B0.05 C0.05 Ni0.9 
B0.02 Cr0.12 Fe0.86 
P0.18 Ni0.72 Cu0.1 
B0.16 Fe0.748 Nd0.092 
B0.018000000000000002 P0.16699999999999998 Ni0.815 
P0.18 Ni0.69 Cu0.13 
B0.04 Cr0.1 Fe0.86 
B0.02 Cr0.1 Fe0.88 
C0.2 Co0.6 Mo0.2 
Mg0.7 Pd0.15 Yb0.15 
Mg0.4 Cu0.24 Y0.36 
Ti0.4 Ni0.4 Cu0.2 
Mg0.5 Ni0.3 La0.2 
C0.1 Ni0.9 
P0.18 Ni0.68 Cu0.14 
B0.07 Fe0.85 Mo0.08 
B0.09 Fe0.06 Ni0.85 
B0.02 P0.165 Ni0.815 
B0.1 Fe0.78 Mo0.12 
P0.16 Ni0.8 Cu0.04 
B0.04 Cr0.08 Fe0.88 
B0.02 Cr0.08 Fe0.9 
B0.17 Ni0.705 Mo0.125 
B0.16 Fe0.64 Mo0.2 
C0.2 Fe0.72 W0.08 
B0.04 V0.05 Fe0.91 
Ti0.45 Cu0.55 
Mg0.55 Cu0.25 Nd0.2 
P0.16 Ni0.81 Cu0.03 
B0.16 Fe0.77 Hf0.07 
C0.14 Co0.74 Mo0.12 
Al0.625 Fe0.125 Ce0.25 
P0.16 Ni0.82 Cu0.02 
B0.12 Fe0.73 Mo0.15 
B0.04 Cr0.05 Fe0.91 
P0.16 Ni0.83 Cu0.01 
Ti0.35 Ni0.65 
Al0.3 Ni0.5 Zr0.2 
Si0.15 Ti0.75 Ta0.1 
Ti0.4 Ni0.3 Cu0.3 
Si0.15 Ni0.85 
B0.08 Fe0.82 Mo0.1 
B0.16 Fe0.76 Ho0.08 
P0.2 Ni0.272 Cu0.528 
B0.04 Mn0.05 Fe0.91 
C0.22 Co0.54 Mo0.24 
Ti0.426 Cu0.564 Nb0.01 
Al0.1 Ti0.2 Cu0.7 
B0.035 Fe0.92 Zr0.045 
B0.04 Fe0.93 Ni0.03 
B0.04 Fe0.95 Cu0.01 
B0.08 Fe0.8 Zr0.12 
B0.1 Fe0.75 Zr0.15 
Mg0.5 Ni0.3 Ce0.2 
Si0.4 Ti0.2 Zr0.4 
Ti0.4 Ni0.2 Cu0.4 
P0.2 Ni0.184 Cu0.616 
B0.06 Fe0.86 Mo0.08 
Al0.48 Ni0.34 La0.18 
Ti0.42 Cu0.57 Nb0.01 
Al0.625 Fe0.12 Ce0.255 
C0.16 Co0.68 Mo0.16 
Ti0.4 Fe0.05 Cu0.55 
Mg0.675 Pd0.2 Yb0.125 
Si0.2 Ti0.5 Nb0.3 
Ti0.4 Ni0.1 Cu0.5 
Mg0.5 Cu0.3 La0.2 
B0.1 Co0.8 Zr0.1 
P0.2 Ni0.75 Mo0.05 
B0.04 Fe0.91 Ni0.05 
Al0.59 Ni0.17 La0.24 
B0.08 Fe0.8 Nb0.12 
Be0.43 Zr0.52 Hf0.05 
B0.17 Ni0.685 Mo0.145 
B0.06 Fe0.84 Zr0.1 
B0.1 Fe0.75 Nb0.15 
B0.04 Fe0.91 Cu0.05 
B0.185 Fe0.695 Nd0.12 
Al0.7 La0.3 
Ti0.3 Ni0.7 
B0.0032262589423481553 Fe0.7967456866320662 Co0.19918642165801656 Nb0.0008416327675690841 
Ti0.4 Cu0.6 
Al0.6 Fe0.15 Ce0.25 
C0.15 Co0.8 W0.05 
C0.05 Si0.05 Ni0.9 
Si0.15 Ti0.55 Zr0.3 
Al0.6 Ni0.2 Gd0.2 
Al0.2 Ni0.7 Zr0.1 
B0.02 Fe0.88 Ni0.1 
B0.04 Fe0.86 Ni0.1 
B0.13 Co0.71 Zr0.16 
C0.18 Co0.62 Mo0.2 
Si0.35 Ti0.26 Zr0.39 
B0.17 Ni0.665 Nb0.165 
B0.08 Fe0.8 Mo0.12 
C0.18 Fe0.74 W0.08 
P0.0020440062522544193 Fe0.7484669953108092 Co0.2494889984369364 
Si0.18 Ti0.52 Nb0.3 
B0.14 Fe0.66 Mo0.2 
C0.18 Ni0.66 Mo0.16 
Si0.175 Ti0.525 Nb0.3 
P0.0020440062522544193 Fe0.8482625946855837 Ni0.14969339906216186 
Mg0.5 Y0.4 Ag0.1 
B0.1 Fe0.75 Mo0.15 
Al0.5 Ni0.3 La0.2 
Ti0.3 Ni0.6 Cu0.1 
B0.02 Fe0.83 Ni0.15 
B0.04 Fe0.81 Ni0.15 
B0.04 Fe0.86 Cu0.1 
C0.12 Fe0.71 Mo0.17 
Al0.46 Ni0.36 La0.18 
B0.06 Fe0.84 Mo0.1 
B0.05 Fe0.85 Zr0.1 
Si0.05 Co0.95 
Al0.35 Ni0.35 Zr0.3 
P0.18 Ni0.13 Cu0.69 
Al0.4 Ni0.45 La0.15 
B0.12 Fe0.7 Mo0.18 
P0.2 Ni0.73 Mo0.07 
Mg0.6 Ni0.15 Nd0.25 
Mg0.5 Ni0.3 Nd0.2 
C0.22 Fe0.68 W0.1 
C0.2 Co0.56 Mo0.24 
Ti0.3 Ni0.5 Cu0.2 
B0.17 Ni0.665 Mo0.165 
Al0.3 Ni0.6 La0.1 
B0.02 Fe0.78 Ni0.2 
B0.04 Fe0.76 Ni0.2 
B0.14 Fe0.79 W0.07 
Si0.16 Ti0.54 Nb0.3 
C0.14 Co0.7 Mo0.16 
Mg0.3 Ni0.4 Y0.3 
Si0.15 Ti0.55 Nb0.3 
Mn0.9 Zr0.1 
Ti0.25 Ni0.75 
P0.0020440062522544193 Fe0.7484669953108092 Ni0.2494889984369364 
Ti0.3 Ni0.4 Cu0.3 
Al0.34 Ni0.36 Zr0.3 
B0.02 Fe0.73 Ni0.25 
B0.04 Fe0.71 Ni0.25 
Be0.2763819095477387 Ti0.0829145728643216 Ni0.10050251256281408 Cu0.07537688442211055 Zr0.4648241206030151 
Al0.33 Ni0.38 Zr0.29 
Mn0.88 Co0.02 Zr0.1 
B0.175 Fe0.70125 Nd0.12375 
Mg0.3076923076923077 Ca0.3076923076923077 Cu0.07692307692307693 Ag0.3076923076923077 
B0.06 Fe0.82 Nb0.12 
Mg0.6 Cu0.15 Nd0.25 
Mg0.55 Y0.15 Ag0.3 
Ti0.3 Ni0.35 Cu0.35 
Al0.32 Ni0.4 Zr0.28 
B0.08 Fe0.77 Nb0.15 
Si0.14 Ti0.56 Nb0.3 
C0.22 Co0.5 Mo0.28 
Be0.274761077324066 Al0.0008688097306689834 Ti0.08242832319721981 Ni0.0999131190269331 Cu0.07493483927019982 Zr0.4670938314509122 
P0.16 Ni0.17 Cu0.67 
Be0.2749438890022444 Al0.00020403999183840035 Ti0.08248316670067334 Ni0.09997959600081616 Cu0.07498469700061212 Zr0.4674046113038156 
Be0.2746947835738069 Al0.0011098779134295226 Ti0.08240843507214206 Ni0.09988901220865704 Cu0.07491675915649279 Zr0.4669811320754717 
Be0.27485533929510786 Al0.0005260389268805891 Ti0.08245660178853235 Ni0.09994739610731193 Cu0.07496054708048397 Zr0.4672540768016834 
Be0.275 Ti0.0825 Ni0.1 Cu0.075 Zr0.4675 
Be0.2746255106672719 Al0.0013617793917385386 Ti0.08238765320018157 Ni0.09986382206082614 Cu0.07489786654561961 Zr0.4668633681343622 
Be0.27451556077510275 Al0.0017615971814445098 Ti0.08235466823253082 Ni0.09982384028185556 Cu0.07486788021139168 Zr0.4666764533176747 
Si0.1 Ni0.9 
